OTU,Accession,Phylum,Class,Order,Family,Genus
Otu00001,AY271254.1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia
Otu00002,AJ400267.1,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,S24-7_unclassified
Otu00003,AF157056.1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Otu00004,AJ400235.1,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,S24-7_unclassified
Otu00005,AF018544.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00006,AJ408995.1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Otu00007,AJ408991.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00008,AF371476.1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu00009,AY643083.1,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu00010,AY538172.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00011,AY148470.1,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Otu00012,AJ576395.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00013,AY134906.1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter
Otu00014,AF132250.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00015,AJ400256.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00016,AJ306761.1,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Incertae_Sedis
Otu00017,AJ408959.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Otu00018,AF132273.1,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu00019,EU530489.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00020,AY244908.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00021,AY136666.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00022,AY278624.1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Otu00023,AF157051.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00024,AB238598.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Otu00025,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00026,AF104839.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00027,AJ312386.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu00028,AJ400256.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00029,EU530489.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00030,AF408259.1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Otu00031,Y18184.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00032,X71855.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00033,AF157051.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00034,AY253659.1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu00035,AF157051.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00036,AJ408960.1,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Parasutterella
Otu00037,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00038,AJ400235.1,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,S24-7_unclassified
Otu00039,AY033434.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00040,DQ394661.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00041,AB326350.1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
