OTU,Accession,Phylum,Class,Order,Family,Genus
Otu00042,AJ629069.1,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified
Otu00043,AJ576418.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00044,EU259447.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00045,AB040499.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00046,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00047,AJ400262.1,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Otu00048,AF018544.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00049,EU530489.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00050,AF499908.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00051,EF612768.1,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00052,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00053,AF132261.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00054,AJ400237.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00055,AY244908.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00056,AJ408969.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00057,Y18184.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00058,EU530489.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00059,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00060,AB018187.1,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Incertae_Sedis
Otu00061,AF499906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00062,AF132264.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00063,AY442822.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00064,AY214191.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00065,AY093470.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00066,AY136666.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00067,AF371751.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu00068,AJ417075.1,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum
Otu00069,DQ532285.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00070,AB040499.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00071,EU530489.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00072,DQ905423.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00073,AF116920.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00074,AF499906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00075,AY169428.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00076,AF132267.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00077,DQ815728.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00078,EF025906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00079,AY244908.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00080,AY278618.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00081,AF132267.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00082,AJ576418.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00083,AY518589.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium
Otu00084,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00085,AJ408961.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00086,AF280849.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00087,AY330126.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00088,AF371593.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00089,EF603070.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00090,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00091,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00092,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00093,AF371593.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00094,AF157051.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00095,AY212660.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00096,AF167711.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00097,AJ488093.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Otu00098,AJ400256.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00099,DQ394661.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00100,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00101,AY330126.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00102,AF371593.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00103,AF499906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00104,AY212772.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00105,AF116920.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00106,AF157051.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00107,Y10030.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00108,AF050581.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00109,AY033434.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00110,DQ819146.1,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enteric_Bacteria_cluster
Otu00111,AF132250.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00112,AF030449.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu00113,AB306661.1,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Adlercreutzia
Otu00114,EF603175.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00115,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00116,AF132264.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00117,Z26939.1,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified
Otu00118,AF289160.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00119,AF292374.1,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
Otu00120,EF602918.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Otu00121,AY169419.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00122,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00123,DQ673514.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00124,AY244908.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00125,DQ100445.1,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Incertae_Sedis
Otu00126,AJ315487.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00127,DQ904854.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00128,EF603070.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00129,AB238598.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Otu00130,X71855.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00131,AB238598.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Otu00132,AJ576369.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00133,AF056088.1,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu00134,EF025906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00135,EF603070.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00136,AJ576369.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00137,AJ417075.1,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum
Otu00138,AJ245921.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00139,AY169428.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00140,AY033434.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00141,X71855.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00142,AJ408979.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00143,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00144,AY169428.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00145,AF481212.1,Firmicutes,Clostridia,Clostridiales,Family_XIII_Incertae_Sedis,Family_XIII_Incertae_Sedis_unclassified
Otu00146,AF371552.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00147,AF499906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00148,Y10028.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00149,AF157058.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00150,AY491543.1,Firmicutes,Clostridia,Clostridiales,Family_XIII_Incertae_Sedis,Family_XIII_Incertae_Sedis_unclassified
Otu00151,AF371593.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00152,Y18185.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00153,AY395018.1,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Otu00154,X95624.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00155,AF132264.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00156,AJ131121.1,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
Otu00157,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00158,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00159,AJ315487.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00160,AJ404681.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00161,AJ408969.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00162,AF132267.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00163,EU009808.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00164,AJ272036.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00165,AF371642.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00166,EF420229.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00167,AY330126.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00168,AF157050.1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu00169,AF157052.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00170,AF132250.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00171,Y18184.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00172,AB306661.1,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Adlercreutzia
Otu00173,AJ408969.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00174,AY518589.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium
Otu00175,EF603070.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00176,EF603383.1,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum
Otu00177,AJ404682.1,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Incertae_Sedis
Otu00178,AY212660.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00179,AJ408979.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00180,AJ404681.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00181,AY136666.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00182,AY212756.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00183,AY212772.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00184,AM277638.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00185,AJ400260.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Otu00186,EF420229.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00187,AF167711.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00188,DQ673514.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00189,AY239456.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00190,AF132264.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00191,EF603175.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00192,AJ408969.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00193,AY244908.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00194,AJ408992.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00195,AJ576418.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00196,DQ455857.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Otu00197,AY244949.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00198,AY244958.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Otu00199,AJ409000.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00200,AB233029.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00201,AF385550.1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Otu00202,AY212760.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00203,AJ315487.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00204,AF018544.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00205,AY244908.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00206,AY212772.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00207,DQ394661.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00208,AF157051.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00209,DQ455857.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00210,AF028349.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00211,AJ629069.1,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified
Otu00212,X71856.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00213,AJ780977.1,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00214,AJ408971.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00215,L35517.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00216,AY136666.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Incertae_Sedis
Otu00217,EF445201.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00218,AJ408991.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00219,AJ408969.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00220,AF116920.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00221,AY212762.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00222,EF025906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00223,AY212772.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00224,AF132261.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00225,AJ576395.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00226,AF371552.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00227,AF028350.1,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Incertae_Sedis
Otu00228,AF052416.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Otu00229,Y18184.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00230,AF132261.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00231,AJ400256.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00232,L35517.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00233,X71856.1,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
Otu00234,AB238598.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00235,AY212760.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00236,AJ408991.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00237,EU530489.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu00238,AJ404681.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00239,AJ308396.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00240,AY244949.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00241,AF132264.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis
Otu00242,EF602920.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
Otu00243,AB238598.1,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified
Otu00244,Y10028.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00245,AF202259.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified
Otu00246,EF025906.1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
