%eval_id,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFD-1-1,1-PFD-2-1,1-PFD-3-1,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PRD-1-1
Units,inchps2,inchps2,inchps2,inchps2,inch,inch,inch,rad,rad,rad,rad
1,205.349,398.55,663.999,15.02096,1.29971,2.23669,2.55729,0.00902578,0.00651353,0.00224161,0.0591965
2,205.144,428.291,713.766,16.24224,1.32017,2.27553,2.61171,0.00916787,0.00664036,0.00235272,0.0604563
3,204.497,502.913,832.597,18.8973,1.38908,2.3996,2.77983,0.00964638,0.00701878,0.00264364,0.064348
4,205.07,367.844,614.539,14.0482,1.25029,2.16331,2.50642,0.00868259,0.00634458,0.00239385,0.058018999999999994
5,205.157,403.205,682.923,15.71624,1.27568,2.21909,2.59034,0.00885887,0.00655629,0.00259688,0.059961499999999994
6,204.998,562.184,851.042,19.3973,1.28168,2.20488,2.5867,0.00890053,0.00641225,0.00265246,0.059877200000000005
7,204.888,489.974,813.001,18.35904,1.40211,2.40897,2.75316,0.00973687,0.00699494,0.00239493,0.0637306
8,205.006,481.487,807.294,18.66388,1.3473,2.34888,2.76713,0.00935628,0.00695715,0.00290849,0.0640539
9,204.965,453.219,768.933,18.06776,1.31067,2.29778,2.72876,0.00910189,0.00685736,0.00299931,0.06316569999999999
10,204.655,479.639,802.538,18.3533,1.37209,2.37478,2.75312,0.00952839,0.00696545,0.00263237,0.0637296
11,205.23,488.234,813.671,18.552599999999998,1.37961,2.38593,2.7648,0.00958063,0.00699048,0.0026358,0.0639999
12,204.693,576.684,900.795,20.019000000000002,1.2812,2.16542,2.43156,0.00889725,0.00614067,0.00184831,0.0562861
13,204.705,545.26,862.814,19.61982,1.33834,2.3157,2.70665,0.009294,0.00678753,0.00271592,0.0626539
14,204.295,417.139,702.694,16.1326,1.29197,2.24254,2.60836,0.00897202,0.00660573,0.0025585,0.0603787
15,204.835,478.084,789.559,17.81964,1.39582,2.3926,2.7133,0.00969321,0.00692555,0.00223242,0.0628078
16,204.69,561.579,851.43,19.597080000000002,1.27045,2.19039,2.57839,0.00882257,0.00638849,0.00269547,0.059685
17,204.737,456.837,755.46,17.29806,1.35194,2.33226,2.67085,0.00938847,0.00681132,0.00235641,0.0618253
18,204.537,417.971,693.362,15.60862,1.32718,2.27605,2.58441,0.0092165,0.00659649,0.00215614,0.059824300000000004
19,205.131,479.949,804.436,18.50892,1.35838,2.36068,2.76111,0.00943319,0.00696225,0.00278533,0.0639145
20,205.062,516.29,847.149,19.02848,1.41379,2.42795,2.78332,0.00981796,0.00704379,0.00247014,0.0644288
21,205.119,530.78,862.855,19.22136,1.43198,2.44723,2.7832,0.00994431,0.00705097,0.00233413,0.0644258
