%eval_id,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFD-1-1,1-PFD-2-1,1-PFD-3-1,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PRD-1-1
Units,inchps2,inchps2,inchps2,inchps2,inch,inch,inch,rad,rad,rad,rad
22,205.026,508.394,840.62,19.36382,1.34059,2.33875,2.77061,0.00930967,0.00693168,0.00299992,0.0641345
23,205.13,571.846,861.723,19.52596,1.30611,2.2325,2.58598,0.00907024,0.00643405,0.00245546,0.0598606
24,204.852,419.902,697.647,15.72682,1.32547,2.27598,2.59062,0.00920462,0.00660716,0.00220041,0.059968
25,204.394,494.499,819.486,18.520719999999997,1.40099,2.40985,2.76311,0.00972909,0.00700866,0.00245699,0.0639608
26,204.494,470.552,792.036,18.27814,1.35097,2.34906,2.74718,0.00938173,0.00693379,0.00277016,0.0635922
27,204.499,575.067,872.882,19.76192,1.30499,2.22828,2.57253,0.00906244,0.00641222,0.00239114,0.0595493
28,205.081,387.18,650.79,14.88782,1.27019,2.20097,2.55106,0.00882076,0.00646954,0.00244748,0.0590523
29,204.945,477.925,800.595,18.3393,1.36818,2.37003,2.75214,0.00950127,0.00696001,0.00265827,0.0637069
30,205.008,542.901,863.559,19.6191,1.34505,2.32684,2.71804,0.0093406,0.00681814,0.00271732,0.0629176
31,204.966,560.164,878.99,20.0822,1.23974,2.12893,2.47024,0.00860931,0.00617497,0.00237046,0.0571814
32,204.708,409.778,684.343,15.49608,1.30869,2.25421,2.58068,0.00908816,0.006572,0.0022834,0.0597379
33,204.955,510.059,836.708,18.70834,1.42831,2.44216,2.77108,0.00991883,0.00704299,0.0022871,0.0641453
34,204.541,416.134,692.252,15.619860000000001,1.32082,2.26935,2.58568,0.00917237,0.00659334,0.00221265,0.0598538
35,204.565,565.858,876.049,19.6005,1.36448,2.33304,2.6679,0.00947553,0.00672741,0.00232718,0.0617569
36,204.878,469.596,774.179,17.52976,1.38178,2.37097,2.68971,0.00959572,0.0068731,0.0022184,0.062261699999999996
37,204.804,478.897,780.026,17.36192,1.41376,2.40212,2.66946,0.00981776,0.00686847,0.00185922,0.061793100000000004
38,204.315,436.274,723.759,16.52506,1.32957,2.28807,2.61939,0.00923314,0.00666161,0.00233435,0.060634
39,204.617,384.954,642.593,14.61774,1.27627,2.20339,2.53736,0.00886301,0.00644388,0.00233387,0.0587351
40,204.94,553.65,866.445,19.90128,1.15631,1.9833,2.29486,0.00802994,0.00574306,0.00216414,0.053121699999999994
41,204.989,457.697,756.254,17.2938,1.35454,2.33513,2.67031,0.0094065,0.00681312,0.00233317,0.0618128
42,204.469,482.024,801.472,18.17022,1.39096,2.39355,2.74085,0.00965946,0.00696549,0.00241703,0.0634457
43,205.324,564.85,889.669,19.93682,1.2429,2.1127,2.39716,0.00863122,0.00604104,0.00197544,0.055489800000000006
44,204.622,394.523,654.067,14.73568,1.30141,2.23373,2.54238,0.00903757,0.00648134,0.00215707,0.058851499999999994
45,204.977,459.542,775.346,18.03436,1.33188,2.32289,2.72943,0.00924913,0.00688458,0.00282953,0.06318119999999999
46,205.147,408.955,682.513,15.44566,1.30916,2.25386,2.57806,0.0090914,0.00656717,0.00226721,0.0596774
47,205.192,525.256,858.594,19.26552,1.41098,2.42361,2.78361,0.00979846,0.00703268,0.00250147,0.0644353
48,204.831,401.833,675.212,15.39222,1.29015,2.23166,2.57602,0.00895939,0.00654414,0.00240859,0.05963
49,204.897,470.613,792.445,18.3182,1.34737,2.34534,2.74931,0.00935676,0.00693282,0.00281059,0.0636414
50,204.98,489.672,812.667,18.35762,1.40135,2.40812,2.75311,0.00973162,0.00699398,0.00240047,0.0637293
