inchikey	inchi	smiles	atom_bag	charge
GPRLSGONYQIRFK-UHFFFAOYSA-N	InChI=1S/p+1	[H+]	"{""H"": 1, ""e-"": 0}"	1
QXUAMGWCVYZOLV-UHFFFAOYSA-N	InChI=1S/B/q-3	[BH2-3]	"{""B"": 1, ""H"": 2, ""e-"": 10}"	-3
ZZIJOQHRUPVPQC-UHFFFAOYSA-N	InChI=1S/H2/h1H/q+1	[HH+]	"{""H"": 2, ""e-"": 1}"	1
KLGZELKXQMTEMM-UHFFFAOYSA-N	InChI=1S/H/q-1	[H-]	"{""H"": 1, ""e-"": 2}"	-1
MILUBEOXRNEUHS-UHFFFAOYSA-N	InChI=1S/Ir/q+3	[Ir+3]	"{""Ir"": 1, ""e-"": 74}"	3
BHPQYMZQTOCNFJ-UHFFFAOYSA-N	InChI=1S/Ca/q+2	[Ca+2]	"{""Ca"": 1, ""e-"": 18}"	2
SYRHIZPPCHMRIT-UHFFFAOYSA-N	InChI=1S/Sn/q+4	[Sn+4]	"{""Sn"": 1, ""e-"": 46}"	4
PWOSZCQLSAMRQW-UHFFFAOYSA-N	InChI=1S/Be/q+2	[Be+2]	"{""Be"": 1, ""e-"": 2}"	2
NCMHKCKGHRPLCM-UHFFFAOYSA-N	InChI=1S/Cs/q+1	[Cs+]	"{""Cs"": 1, ""e-"": 54}"	1
BQPIGGFYSBELGY-UHFFFAOYSA-N	InChI=1S/Hg/q+2	[Hg+2]	"{""Hg"": 1, ""e-"": 78}"	2
CKHJYUSOUQDYEN-UHFFFAOYSA-N	InChI=1S/Ga/q+3	[Ga+3]	"{""Ga"": 1, ""e-"": 28}"	3
ZBKIUFWVEIBQRT-UHFFFAOYSA-N	InChI=1S/Au/q+1	[Au+]	"{""Au"": 1, ""e-"": 78}"	1
NVSDADJBGGUCLP-UHFFFAOYSA-N	InChI=1S/S3/c1-3-2	S=S=S	"{""S"": 3, ""e-"": 48}"	0
FHNFHKCVQCLJFQ-UHFFFAOYSA-N	InChI=1S/Xe	[Xe]	"{""Xe"": 1, ""e-"": 54}"	0
GRTBAGCGDOYUBE-UHFFFAOYSA-N	InChI=1S/Y/q+3	[Y+3]	"{""Y"": 1, ""e-"": 36}"	3
JOPOVCBBYLSVDA-UHFFFAOYSA-N	InChI=1S/Cr/q+6	[Cr+6]	"{""Cr"": 1, ""e-"": 18}"	6
PWHULOQIROXLJO-UHFFFAOYSA-N	InChI=1S/Mn	[Mn]	"{""Mn"": 1, ""e-"": 25}"	0
WFKWXMTUELFFGS-UHFFFAOYSA-N	InChI=1S/W	[W]	"{""W"": 1, ""e-"": 74}"	0
WAEMQWOKJMHJLA-UHFFFAOYSA-N	InChI=1S/Mn/q+2	[Mn+2]	"{""Mn"": 1, ""e-"": 23}"	2
HBBGRARXTFLTSG-UHFFFAOYSA-N	InChI=1S/Li/q+1	[Li+]	"{""Li"": 1, ""e-"": 2}"	1
FKNQFGJONOIPTF-UHFFFAOYSA-N	InChI=1S/Na/q+1	[Na+]	"{""Na"": 1, ""e-"": 10}"	1
MMIPFLVOWGHZQD-UHFFFAOYSA-N	InChI=1S/Mn/q+3	[Mn+3]	"{""Mn"": 1, ""e-"": 22}"	3
QQINRWTZWGJFDB-UHFFFAOYSA-N	InChI=1S/Ac	[Ac]	"{""Ac"": 1, ""e-"": 89}"	0
QSHDDOUJBYECFT-UHFFFAOYSA-N	InChI=1S/Hg	[Hg]	"{""Hg"": 1, ""e-"": 80}"	0
XYDQMRVDDPZFMM-UHFFFAOYSA-N	InChI=1S/Ag/q+2	[Ag+2]	"{""Ag"": 1, ""e-"": 45}"	2
LBDSXVIYZYSRII-UHFFFAOYSA-N	InChI=1S/He/q+2	[He+2]	"{""He"": 1, ""e-"": 0}"	2
KVLCHQHEQROXGN-UHFFFAOYSA-N	InChI=1S/Al/q+1	[Al+]	"{""Al"": 1, ""e-"": 12}"	1
LXQXZNRPTYVCNG-UHFFFAOYSA-N	InChI=1S/Am	[Am]	"{""Am"": 1, ""e-"": 95}"	0
WATWJIUSRGPENY-UHFFFAOYSA-N	InChI=1S/Sb	[Sb]	"{""Sb"": 1, ""e-"": 51}"	0
FAWGZAFXDJGWBB-UHFFFAOYSA-N	InChI=1S/Sb/q+3	[Sb+3]	"{""Sb"": 1, ""e-"": 48}"	3
XJVBHCCEUWWHMI-UHFFFAOYSA-N	InChI=1S/Ar/q+1	[Ar+]	"{""Ar"": 1, ""e-"": 17}"	1
XKRFYHLGVUSROY-UHFFFAOYSA-N	InChI=1S/Ar	[Ar]	"{""Ar"": 1, ""e-"": 18}"	0
RQNWIZPPADIBDY-UHFFFAOYSA-N	InChI=1S/As	[As]	"{""As"": 1, ""e-"": 33}"	0
LULLIKNODDLMDQ-UHFFFAOYSA-N	InChI=1S/As/q+3	[As+3]	"{""As"": 1, ""e-"": 30}"	3
PLBIBGCHGHXZDD-UHFFFAOYSA-N	InChI=1S/Au/q-1	[Au-]	"{""Au"": 1, ""e-"": 80}"	-1
XDFCIPNJCBUZJN-UHFFFAOYSA-N	InChI=1S/Ba/q+2	[Ba+2]	"{""Ba"": 1, ""e-"": 54}"	2
DSAJWYNOEDNPEQ-UHFFFAOYSA-N	InChI=1S/Ba	[Ba]	"{""Ba"": 1, ""e-"": 56}"	0
NZMBEOVSCFWSKC-UHFFFAOYSA-N	InChI=1S/Ba/q+1	[Ba+]	"{""Ba"": 1, ""e-"": 55}"	1
PWVKJRSRVJTHTR-UHFFFAOYSA-N	InChI=1S/Bk	[Bk]	"{""Bk"": 1, ""e-"": 97}"	0
ATBAMAFKBVZNFJ-UHFFFAOYSA-N	InChI=1S/Be	[Be]	"{""Be"": 1, ""e-"": 4}"	0
FSZJGTOCGOQRRE-UHFFFAOYSA-N	InChI=1S/Be/q+1	[Be+]	"{""Be"": 1, ""e-"": 3}"	1
JCXGWMGPZLAOME-UHFFFAOYSA-N	InChI=1S/Bi	[Bi]	"{""Bi"": 1, ""e-"": 83}"	0
INOXRQQPOOCQPH-UHFFFAOYSA-N	InChI=1S/Bh	[Bh]	"{""Bh"": 1, ""e-"": 107}"	0
ZOXJGFHDIHLPTG-UHFFFAOYSA-N	InChI=1S/B	[B]	"{""B"": 1, ""e-"": 5}"	0
HYFJXBYGHMZZPQ-UHFFFAOYSA-N	InChI=1S/B/q+1	[B+]	"{""B"": 1, ""e-"": 4}"	1
FRWDHMWMHYXNLW-UHFFFAOYSA-N	InChI=1S/B/q+3	[B+3]	"{""B"": 1, ""e-"": 2}"	3
SOUPRKFYMHZDHZ-UHFFFAOYSA-N	InChI=1S/Br/q+1	[Br+]	"{""Br"": 1, ""e-"": 34}"	1
XMWRBQBLMFGWIX-UHFFFAOYSA-N	InChI=1S/C60/c1-2-5-6-3(1)8-12-10-4(1)9-11-7(2)17-21-13(5)23-24-14(6)22-18(8)28-20(12)30-26-16(10)15(9)25-29-19(11)27(17)37-41-31(21)33(23)43-44-34(24)32(22)42-38(28)48-40(30)46-36(26)35(25)45-39(29)47(37)55-49(41)51(43)57-52(44)50(42)56(48)59-54(46)53(45)58(55)60(57)59	c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41	"{""C"": 60, ""e-"": 360}"	0
