inchikey	inchi	smiles	atom_bag	charge
ATLMFJTZZPOKLC-UHFFFAOYSA-N	InChI=1S/C70/c1-2-22-5-6-24-13-14-26-11-9-23-4-3(21(1)51-52(22)54(24)55(26)53(23)51)33-31(1)61-35-7-8-27-15-16-29-19-20-30-18-17-28-12-10(25(7)56-57(27)59(29)60(30)58(28)56)37(35)63(33)65-36(4)40(9)67(44(17)42(12)65)69-46(11)47(14)70(50(20)49(18)69)68-43(13)39(6)66(45(16)48(19)68)64-34(5)32(2)62(61)38(8)41(15)64	c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c%12c%13c%14c%15c%16c%17c%14c%14c%18c%13c%11c1c1c5c%10c5c(c%14c%10c%17c%11c%13c%16c%14c%16c%15c%12c%12c%16c(c2c7c6%12)c2c8c3c(c%13c%142)c2c9c4c5c%10c%112)c%181	"{""C"": 70, ""e-"": 420}"	0
NFFJFSFVERDMBQ-UHFFFAOYSA-N	InChI=1S/Cs/q-1	[Cs-]	"{""Cs"": 1, ""e-"": 56}"	-1
TVFDJXOCXUVLDH-UHFFFAOYSA-N	InChI=1S/Cs	[Cs]	"{""Cs"": 1, ""e-"": 55}"	0
OYPRJOBELJOOCE-UHFFFAOYSA-N	InChI=1S/Ca	[Ca]	"{""Ca"": 1, ""e-"": 20}"	0
JDMNMMCDWTVNSP-UHFFFAOYSA-N	InChI=1S/Ca/q+1	[Ca+]	"{""Ca"": 1, ""e-"": 19}"	1
HGLDOAKPQXAFKI-UHFFFAOYSA-N	InChI=1S/Cf	[Cf]	"{""Cf"": 1, ""e-"": 98}"	0
OKTJSMMVPCPJKN-UHFFFAOYSA-N	InChI=1S/C	[C]	"{""C"": 1, ""e-"": 6}"	0
GKDCRJWYAGBLFY-UHFFFAOYSA-N	InChI=1S/C/q+1	[C+]	"{""C"": 1, ""e-"": 5}"	1
GWXLDORMOJMVQZ-UHFFFAOYSA-N	InChI=1S/Ce	[Ce]	"{""Ce"": 1, ""e-"": 58}"	0
XQTIWNLDFPPCIU-UHFFFAOYSA-N	InChI=1S/Ce/q+3	[Ce+3]	"{""Ce"": 1, ""e-"": 55}"	3
ITZXULOAYIAYNU-UHFFFAOYSA-N	InChI=1S/Ce/q+4	[Ce+4]	"{""Ce"": 1, ""e-"": 54}"	4
KVPIFZRDXDYGBA-UHFFFAOYSA-N	InChI=1S/Cl/q+1	[Cl+]	"{""Cl"": 1, ""e-"": 16}"	1
HAVSLMYESNIBIW-UHFFFAOYSA-N	InChI=1S/Cr/q-1	[Cr-]	"{""Cr"": 1, ""e-"": 25}"	-1
BFGKITSFLPAWGI-UHFFFAOYSA-N	InChI=1S/Cr/q+3	[Cr+3]	"{""Cr"": 1, ""e-"": 21}"	3
UZEDIBTVIIJELN-UHFFFAOYSA-N	InChI=1S/Cr/q+2	[Cr+2]	"{""Cr"": 1, ""e-"": 22}"	2
UUMMHAPECIIHJR-UHFFFAOYSA-N	InChI=1S/Cr/q+4	[Cr+4]	"{""Cr"": 1, ""e-"": 20}"	4
RKCWRYBOSIJRNH-UHFFFAOYSA-N	InChI=1S/Cr/q+5	[Cr+5]	"{""Cr"": 1, ""e-"": 19}"	5
JAWGVVJVYSANRY-UHFFFAOYSA-N	InChI=1S/Co/q+3	[Co+3]	"{""Co"": 1, ""e-"": 24}"	3
BFVNPAKTAJENJQ-UHFFFAOYSA-N	InChI=1S/Co/q+1	[Co+]	"{""Co"": 1, ""e-"": 26}"	1
XYNZKHQSHVOGHB-UHFFFAOYSA-N	InChI=1S/Cu/q+3	[Cu+3]	"{""Cu"": 1, ""e-"": 26}"	3
NIWWFAAXEMMFMS-UHFFFAOYSA-N	InChI=1S/Cm	[Cm]	"{""Cm"": 1, ""e-"": 96}"	0
ZBZYKQJVGNFPHH-UHFFFAOYSA-N	InChI=1S/As3/c1-2-3-1	[As]1=[As][As]1	"{""As"": 3, ""e-"": 99}"	0
JWMKWLJGSKAGLH-UHFFFAOYSA-N	InChI=1S/Se8/c1-2-4-6-8-7-5-3-1	[Se]1[Se][Se][Se][Se][Se][Se][Se]1	"{""Se"": 8, ""e-"": 272}"	0
JLQNHALFVCURHW-UHFFFAOYSA-N	InChI=1S/S8/c1-2-4-6-8-7-5-3-1	S1SSSSSSS1	"{""S"": 8, ""e-"": 128}"	0
DEVHCWHUQVZNMT-UHFFFAOYSA-N	InChI=1S/S5/c1-2-4-5-3-1	s1ssss1	"{""S"": 5, ""e-"": 80}"	0
NWWQJUISNMIVLJ-UHFFFAOYSA-N	InChI=1S/S4/c1-2-4-3-1	S1SSS1	"{""S"": 4, ""e-"": 64}"	0
NCBMSFCPDGXTHD-UHFFFAOYSA-N	InChI=1S/Ds	[Ds]	"{""Ds"": 1, ""e-"": 110}"	0
VYZAMTAEIAYCRO-UHFFFAOYSA-N	InChI=1S/Cr	[Cr]	"{""Cr"": 1, ""e-"": 24}"	0
GUTLYIVDDKVIGB-UHFFFAOYSA-N	InChI=1S/Co	[Co]	"{""Co"": 1, ""e-"": 27}"	0
FFCZHQLUEDCQKI-UHFFFAOYSA-N	InChI=1S/As2/c1-2	[As]#[As]	"{""As"": 2, ""e-"": 66}"	0
IIVCFMLFAMWTJV-UHFFFAOYSA-N	InChI=1S/As2/c1-2/q+1	[As]#[As]	"{""As"": 2, ""e-"": 66}"	0
BSXAZQBJJWCDAY-UHFFFAOYSA-N	InChI=1S/At2/c1-2	[At][At]	"{""At"": 2, ""e-"": 170}"	0
ZOCHARZZJNPSEU-UHFFFAOYSA-N	InChI=1S/B2/c1-2	B#B	"{""B"": 2, ""e-"": 10}"	0
JKLOYUWGBHSXTM-UHFFFAOYSA-N	InChI=1S/B2/c1-2/q+4	[B+2][B+2]	"{""B"": 2, ""e-"": 6}"	4
LTDXHAFASXANOM-UHFFFAOYSA-N	InChI=1S/Br2/c1-2/q-1	Br[Br-]	"{""Br"": 2, ""e-"": 71}"	-1
GDTBXPJZTBHREO-UHFFFAOYSA-N	InChI=1S/Br2/c1-2	BrBr	"{""Br"": 2, ""e-"": 70}"	0
YZABTPRDHYVJNU-UHFFFAOYSA-N	InChI=1S/Br2/c1-2/q+1	Br[Br+]	"{""Br"": 2, ""e-"": 69}"	1
LBVWYGNGGJURHQ-UHFFFAOYSA-N	InChI=1S/C2/c1-2	[C+]#[C-]	"{""C"": 2, ""e-"": 12}"	0
ADIRGMFQWJHVBM-UHFFFAOYSA-N	InChI=1S/C2/c1-2/q+1	[C]#[C+]	"{""C"": 2, ""e-"": 11}"	1
CGCDOKHAYHELEG-UHFFFAOYSA-N	InChI=1S/Cl2/c1-2/q-1	Cl[Cl-]	"{""Cl"": 2, ""e-"": 35}"	-1
KZBUYRJDOAKODT-UHFFFAOYSA-N	InChI=1S/Cl2/c1-2	ClCl	"{""Cl"": 2, ""e-"": 34}"	0
IPYDCMMBWLZPDH-UHFFFAOYSA-N	InChI=1S/Cl2/c1-2/q+1	Cl[Cl+]	"{""Cl"": 2, ""e-"": 33}"	1
KVOOTFCSKAFKLT-UHFFFAOYSA-N	InChI=1S/F2/c1-2/q-1	FF	"{""F"": 2, ""e-"": 18}"	0
PXGOKWXKJXAPGV-UHFFFAOYSA-N	InChI=1S/F2/c1-2	FF	"{""F"": 2, ""e-"": 18}"	0
PCZTVBPMAMPCIP-UHFFFAOYSA-N	InChI=1S/F2/c1-2/q+1	[F+]F	"{""F"": 2, ""e-"": 17}"	1
TUONMHFMKUTRCM-UHFFFAOYSA-N	InChI=1S/He2/c1-2/q-1	[He-][He]	"{""He"": 2, ""e-"": 5}"	-1
GHVQTHCLRQIINU-UHFFFAOYSA-N	InChI=1S/He2/c1-2	[He][He]	"{""He"": 2, ""e-"": 4}"	0
ZAJTYDXIUNGESO-UHFFFAOYSA-N	InChI=1S/He2/c1-2/q+1	[He][He+]	"{""He"": 2, ""e-"": 3}"	1
POSAACOWGKHSJD-UHFFFAOYSA-N	InChI=1S/He2/c1-2/q+2	[He+][He+]	"{""He"": 2, ""e-"": 2}"	2
UFBYUGJUYILLQW-UHFFFAOYSA-N	InChI=1S/I2/c1-2/q-1	I[I-]	"{""I"": 2, ""e-"": 107}"	-1
GWDXVHOURQOCIJ-UHFFFAOYSA-N	InChI=1S/I2/c1-2/q+1	I[I+]	"{""I"": 2, ""e-"": 105}"	1
OCLMUTJUZGFVFC-UHFFFAOYSA-N	InChI=1S/N2/c1-2/q+1	N#[N+]	"{""N"": 2, ""e-"": 13}"	1
UYFKRGCHLWERIB-UHFFFAOYSA-N	InChI=1S/N2/c1-2/q+2	N#[N+2]	"{""N"": 2, ""e-"": 12}"	2
KMHJKRGRIJONSV-UHFFFAOYSA-N	InChI=1S/O2/c1-2/q+1	[O+]=O	"{""O"": 2, ""e-"": 15}"	1
NIWXMCONPJOXBL-UHFFFAOYSA-N	InChI=1S/O2/c1-2/q+2	[O+]#[O+]	"{""O"": 2, ""e-"": 14}"	2
CYXBLQSKEWOSAS-UHFFFAOYSA-N	InChI=1S/P2/c1-2/q-2	[P-]=[P-]	"{""P"": 2, ""e-"": 32}"	-2
FOBPTJZYDGNHLR-UHFFFAOYSA-N	InChI=1S/P2/c1-2	P#P	"{""P"": 2, ""e-"": 30}"	0
XIMIGUBYDJDCKI-UHFFFAOYSA-N	InChI=1S/Se2/c1-2	[Se]=[Se]	"{""Se"": 2, ""e-"": 68}"	0
KXNSUPCHCORXIU-UHFFFAOYSA-N	InChI=1S/Si2/c1-2/q-2	[Si-]#[Si-]	"{""Si"": 2, ""e-"": 30}"	-2
NTQGILPNLZZOJH-UHFFFAOYSA-N	InChI=1S/Si2/c1-2	[Si]#[Si]	"{""Si"": 2, ""e-"": 28}"	0
MEMLCQNRJARANC-UHFFFAOYSA-N	InChI=1S/Si2/c1-2/q+1	[Si]#[Si+]	"{""Si"": 2, ""e-"": 27}"	1
MAHNFPMIPQKPPI-UHFFFAOYSA-N	InChI=1S/S2/c1-2	S=S	"{""S"": 2, ""e-"": 32}"	0
YUWMVWRPXKPVMW-UHFFFAOYSA-N	InChI=1S/S2/c1-2/q+1	S=[S+]	"{""S"": 2, ""e-"": 31}"	1
YLCRMYZWTMTCKR-UHFFFAOYSA-N	InChI=1S/B12/c1-2-3(1)5(1)6(1)4(1,2)8(2)7(2,3)9(3,5)11(5,6)10(4,6,8)12(7,8,9)11/q-2	[B]1234[B]567[B]891[B]1%102[B]2%113[B]345[B]456[B]678[B]784[B]12([B-]9%1067)[B-]%11358	"{""B"": 12, ""e-"": 62}"	-2
IETQMFJBTNNARX-UHFFFAOYSA-N	InChI=1S/B12/c1-2-3(1)5(1)6(1)4(1,2)8(2)7(2,3)9(3,5)11(5,6)10(4,6,8)12(7,8,9)11	[B]1234[B]567[B]891[B]1%102[B]2%113[B]345[B]456[B]678[B]791[B]1%102[B]%1134[B]5671	"{""B"": 12, ""e-"": 60}"	0
PUKKTGLVJQVIOF-UHFFFAOYSA-N	InChI=1S/Db	[Db]	"{""Db"": 1, ""e-"": 105}"	0
KBQHZAAAGSGFKK-UHFFFAOYSA-N	InChI=1S/Dy	[Dy]	"{""Dy"": 1, ""e-"": 66}"	0
CKBRQZNRCSJHFT-UHFFFAOYSA-N	InChI=1S/Es	[Es]	"{""Es"": 1, ""e-"": 99}"	0
UYAHIZSMUZPPFV-UHFFFAOYSA-N	InChI=1S/Er	[Er]	"{""Er"": 1, ""e-"": 68}"	0
WABPQHHGFIMREM-UHFFFAOYSA-N	InChI=1S/Pb	[Pb]	"{""Pb"": 1, ""e-"": 82}"	0
OGPBJKLSAFTDLK-UHFFFAOYSA-N	InChI=1S/Eu	[Eu]	"{""Eu"": 1, ""e-"": 63}"	0
MGVUQZZTJGLWJV-UHFFFAOYSA-N	InChI=1S/Eu/q+2	[Eu+2]	"{""Eu"": 1, ""e-"": 61}"	2
LNBHUCHAFZUEGJ-UHFFFAOYSA-N	InChI=1S/Eu/q+3	[Eu+3]	"{""Eu"": 1, ""e-"": 60}"	3
SGGMZBKLQLBBLK-UHFFFAOYSA-N	InChI=1S/Fe/q+4	[Fe+4]	"{""Fe"": 1, ""e-"": 22}"	4
MIORUQGGZCBUGO-UHFFFAOYSA-N	InChI=1S/Fm	[Fm]	"{""Fm"": 1, ""e-"": 100}"	0
LMHDQOWNISVSPD-UHFFFAOYSA-N	InChI=1S/F/q+1	[F+]	"{""F"": 1, ""e-"": 8}"	1
IZUSFFYFNBTCET-UHFFFAOYSA-N	InChI=1S/Fr/q-1	[Fr-]	"{""Fr"": 1, ""e-"": 88}"	-1
KLMCZVJOEAUDNE-UHFFFAOYSA-N	InChI=1S/Fr	[Fr]	"{""Fr"": 1, ""e-"": 87}"	0
OCABHVDKBUNYTK-UHFFFAOYSA-N	InChI=1S/Fr/q+1	[Fr+]	"{""Fr"": 1, ""e-"": 86}"	1
UIWYJDYFSGRHKR-UHFFFAOYSA-N	InChI=1S/Gd	[Gd]	"{""Gd"": 1, ""e-"": 64}"	0
UVTDZAPQOTUWGV-UHFFFAOYSA-N	InChI=1S/Gd/q+2	[Gd+2]	"{""Gd"": 1, ""e-"": 62}"	2
RJOJUSXNYCILHH-UHFFFAOYSA-N	InChI=1S/Gd/q+3	[Gd+3]	"{""Gd"": 1, ""e-"": 61}"	3
MDDDNPCQBBECJG-UHFFFAOYSA-N	InChI=1S/Gd/q+4	[Gd+4]	"{""Gd"": 1, ""e-"": 60}"	4
GYHNNYVSQQEPJS-UHFFFAOYSA-N	InChI=1S/Ga	[Ga]	"{""Ga"": 1, ""e-"": 31}"	0
GNPVGFCGXDBREM-UHFFFAOYSA-N	InChI=1S/Ge	[Ge]	"{""Ge"": 1, ""e-"": 32}"	0
IMJFOQOIQKIVNJ-UHFFFAOYSA-N	InChI=1S/Ge/q+2	[Ge+2]	"{""Ge"": 1, ""e-"": 30}"	2
CULSIAXQVSZNSV-UHFFFAOYSA-N	InChI=1S/Ge/q+4	[Ge+4]	"{""Ge"": 1, ""e-"": 28}"	4
PCHJSUWPFVWCPO-UHFFFAOYSA-N	InChI=1S/Au	[Au]	"{""Au"": 1, ""e-"": 79}"	0
CBMIPXHVOVTTTL-UHFFFAOYSA-N	InChI=1S/Au/q+3	[Au+3]	"{""Au"": 1, ""e-"": 76}"	3
VBJZVLUMGGDVMO-UHFFFAOYSA-N	InChI=1S/Hf	[Hf]	"{""Hf"": 1, ""e-"": 72}"	0
OBDWMWVOVYJOMI-UHFFFAOYSA-N	InChI=1S/Hs	[Hs]	"{""Hs"": 1, ""e-"": 108}"	0
QLNXTEZOQCZJBA-UHFFFAOYSA-N	InChI=1S/He/q+1	[He+]	"{""He"": 1, ""e-"": 1}"	1
XZUYXDVVUGOENK-AATRIKPKSA-N	InChI=1S/N6/c1-3-5-6-4-2/q-1/b6-5+	[N]=N/N=N/N=[N-]	"{""N"": 6, ""e-"": 43}"	-1
YRBKSJIXFZPPGF-UHFFFAOYSA-N	InChI=1S/N6/c1-2-4-6-5-3-1	n1nnnnn1	"{""N"": 6, ""e-"": 42}"	0
KJZYNXUDTRRSPN-UHFFFAOYSA-N	InChI=1S/Ho	[Ho]	"{""Ho"": 1, ""e-"": 67}"	0
SCKNFLZJSOHWIV-UHFFFAOYSA-N	InChI=1S/Ho/q+3	[Ho+3]	"{""Ho"": 1, ""e-"": 64}"	3
APFVFJFRJDLVQX-UHFFFAOYSA-N	InChI=1S/In	[In]	"{""In"": 1, ""e-"": 49}"	0
PIPQOOWEMLRYEJ-UHFFFAOYSA-N	InChI=1S/In/q+1	[In+]	"{""In"": 1, ""e-"": 48}"	1
RJMMFJHMVBOLGY-UHFFFAOYSA-N	InChI=1S/In/q+3	[In+3]	"{""In"": 1, ""e-"": 46}"	3
OCVXZQOKBHXGRU-UHFFFAOYSA-N	InChI=1S/I/q+1	[I+]	"{""I"": 1, ""e-"": 52}"	1
GKOZUEZYRPOHIO-UHFFFAOYSA-N	InChI=1S/Ir	[Ir]	"{""Ir"": 1, ""e-"": 77}"	0
GUCVJGMIXFAOAE-UHFFFAOYSA-N	InChI=1S/Nb	[Nb]	"{""Nb"": 1, ""e-"": 41}"	0
TWXTWZIUMCFMSG-UHFFFAOYSA-N	InChI=1S/N/q-3	[N-3]	"{""N"": 1, ""e-"": 10}"	-3
CRBLVWQHDVTIJD-UHFFFAOYSA-N	InChI=1S/Kr/q+1	[Kr+]	"{""Kr"": 1, ""e-"": 35}"	1
DNNSSWSSYDEUBZ-UHFFFAOYSA-N	InChI=1S/Kr	[Kr]	"{""Kr"": 1, ""e-"": 36}"	0
FZLIPJUXYLNCLC-UHFFFAOYSA-N	InChI=1S/La	[La]	"{""La"": 1, ""e-"": 57}"	0
QPRFPZGRQQKMEX-UHFFFAOYSA-N	InChI=1S/La/q+2	[La+2]	"{""La"": 1, ""e-"": 55}"	2
CZMAIROVPAYCMU-UHFFFAOYSA-N	InChI=1S/La/q+3	[La+3]	"{""La"": 1, ""e-"": 54}"	3
CNQCVBJFEGMYDW-UHFFFAOYSA-N	InChI=1S/Lr	[Lr]	"{""Lr"": 1, ""e-"": 103}"	0
TYDJWWAXVOMTQR-UHFFFAOYSA-N	InChI=1S/Pb/q+4	[Pb+4]	"{""Pb"": 1, ""e-"": 78}"	4
WHXSMMKQMYFTQS-UHFFFAOYSA-N	InChI=1S/Li	[Li]	"{""Li"": 1, ""e-"": 3}"	0
OHSVLFRHMCKCQY-UHFFFAOYSA-N	InChI=1S/Lu	[Lu]	"{""Lu"": 1, ""e-"": 71}"	0
PSDMOPINLDTFSZ-UHFFFAOYSA-N	InChI=1S/Lu/q+3	[Lu+3]	"{""Lu"": 1, ""e-"": 68}"	3
FYYHWMGAXLPEAU-UHFFFAOYSA-N	InChI=1S/Mg	[Mg]	"{""Mg"": 1, ""e-"": 12}"	0
XYAGEBWLYIDCRX-UHFFFAOYSA-N	InChI=1S/Mg/q+1	[Mg+]	"{""Mg"": 1, ""e-"": 11}"	1
YZTQKMVBEGUONQ-UHFFFAOYSA-N	InChI=1S/Mn/q+4	[Mn+4]	"{""Mn"": 1, ""e-"": 21}"	4
XAKRLAGTRUNQIA-UHFFFAOYSA-N	InChI=1S/Mn/q-1	[Mn-]	"{""Mn"": 1, ""e-"": 26}"	-1
VAJSJTKWMRUWBF-UHFFFAOYSA-N	InChI=1S/Mt	[Mt]	"{""Mt"": 1, ""e-"": 109}"	0
MQVSLOYRCXQRPM-UHFFFAOYSA-N	InChI=1S/Md	[Md]	"{""Md"": 1, ""e-"": 101}"	0
HCNGUXXTNNIKCQ-UHFFFAOYSA-N	InChI=1S/Mo/q+6	[Mo+6]	"{""Mo"": 1, ""e-"": 36}"	6
ZIKKVZAYJJZBGE-UHFFFAOYSA-N	InChI=1S/Mo/q+4	[Mo+4]	"{""Mo"": 1, ""e-"": 38}"	4
UMOJXGMTIHBUTN-UHFFFAOYSA-N	InChI=1S/Mo/q+5	[Mo+5]	"{""Mo"": 1, ""e-"": 37}"	5
NINIDFKCEFEMDL-UHFFFAOYSA-N	InChI=1S/S	[S]	"{""S"": 1, ""e-"": 16}"	0
GVGHZEYNQYAORP-UHFFFAOYSA-N	InChI=1S/Na/q-1	[Na-]	"{""Na"": 1, ""e-"": 12}"	-1
QEFYFXOXNSNQGX-UHFFFAOYSA-N	InChI=1S/Nd	[Nd]	"{""Nd"": 1, ""e-"": 60}"	0
GKAOGPIIYCISHV-UHFFFAOYSA-N	InChI=1S/Ne	[Ne]	"{""Ne"": 1, ""e-"": 10}"	0
LANGVOCUTJKVFC-UHFFFAOYSA-N	InChI=1S/Ne/q+1	[Ne+]	"{""Ne"": 1, ""e-"": 9}"	1
LFNLGNPSGWYGGD-UHFFFAOYSA-N	InChI=1S/Np	[Np]	"{""Np"": 1, ""e-"": 93}"	0
YWMAPNNZOCSAPF-UHFFFAOYSA-N	InChI=1S/Ni/q+1	[Ni+]	"{""Ni"": 1, ""e-"": 27}"	1
JDRCAGKFDGHRNQ-UHFFFAOYSA-N	InChI=1S/Ni/q+3	[Ni+3]	"{""Ni"": 1, ""e-"": 25}"	3
QUWPZPLTANKXAM-UHFFFAOYSA-N	InChI=1S/Nb/q+5	[Nb+5]	"{""Nb"": 1, ""e-"": 36}"	5
QJGQUHMNIGDVPM-UHFFFAOYSA-N	InChI=1S/N	[N]	"{""N"": 1, ""e-"": 7}"	0
